cc_Label, uc_Label, cc_Rank_tfidf, uc_Rank_tfidf, cc_avgIdf, cc_maxIdf, cc_devIdf, cc_avgIctf, cc_maxIctf, cc_devIctf, cc_avgEntropy, cc_medEntropy, cc_maxEntropy, cc_devEntropy, cc_qs, cc_scs, cc_avgVar, cc_maxVar, cc_sumVar, cc_cs, uc_avgIdf, uc_maxIdf, uc_devIdf, uc_avgIctf, uc_maxIctf, uc_devIctf, uc_avgEntropy, uc_medEntropy, uc_maxEntropy, uc_devEntropy, uc_qs, uc_scs, uc_avgVar, uc_maxVar, uc_sumVar, uc_cs, IsLinkValid
ea140, ea1,14,0,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.442102,4.007333,1.235761,1.625764,4.007333,2.1829,0.571197,0.554315,0.554315,0.329052,1,-8.745555,0.002955,0.030011,0.265926,0.329582, true
ea140, ea10,54,138,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.480248,4.007333,1.019107,1.560936,4.007333,2.081733,0.493657,0.508235,0.508235,0.311885,0.745455,-6.322914,0.00331,0.006817,0.086071,0.347073, true
ea140, ea100,32,39,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.035472,4.007333,1.137135,2.591397,4.007333,1.949442,0.636348,0.633847,0.633847,0.379391,0.963636,-7.986481,0.001551,0.011407,0.16133,0.384208, false
ea140, ea101,28,31,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.941831,4.007333,1.071858,2.497042,4.007333,1.827742,0.573347,0.625394,0.625394,0.37608,0.963636,-5.658877,0.001821,0.011407,0.15841,0.39834, false
ea140, ea102,30,32,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.934226,4.007333,1.099488,2.439772,4.007333,1.853258,0.552114,0.625394,0.625394,0.392812,0.963636,-5.279117,0.00166,0.011407,0.141071,0.39366, false
ea140, ea103,31,30,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.969613,4.007333,1.123602,2.457036,4.007333,1.963233,0.575707,0.625394,0.625394,0.393476,0.945455,-7.654881,0.001719,0.011407,0.165038,0.402692, false
ea140, ea104,25,82,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.848181,4.007333,1.053675,2.251967,4.007333,1.877248,0.545746,0.508235,0.508235,0.370718,0.890909,-6.052124,0.002271,0.011407,0.168032,0.347347, false
ea140, ea105,38,37,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.00706,4.007333,1.152706,2.514272,4.007333,1.988612,0.627559,0.625394,0.625394,0.383446,0.963636,-6.560233,0.001557,0.011407,0.135441,0.38883, false
ea140, ea106,31,28,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.957896,4.007333,1.126148,2.525187,4.007333,1.858728,0.624116,0.625394,0.625394,0.367314,0.981818,-4.720825,0.001785,0.011407,0.149956,0.370296, false
ea140, ea107,24,11,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.035452,4.007333,1.104005,2.620907,4.007333,1.836371,0.62014,0.625394,0.625394,0.383871,0.963636,-5.481101,0.001551,0.011407,0.156669,0.375434, false
ea140, ea108,32,36,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.874836,4.007333,1.158624,2.383496,4.007333,1.921046,0.597149,0.625394,0.625394,0.372216,1,-8.10038,0.002175,0.019963,0.278359,0.374818, false
ea140, ea109,31,26,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.976131,4.007333,1.08932,2.50885,4.007333,1.896528,0.570575,0.625394,0.625394,0.388444,0.963636,-6.574808,0.001894,0.011407,0.155333,0.406472, false
ea140, ea11,35,88,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.162779,4.007333,1.189615,1.02514,4.007333,2.272439,0.555069,0.61929,0.61929,0.283495,0.927273,-11.256407,0.003934,0.032073,0.184895,0.365353, true
ea140, ea110,34,35,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.067614,4.007333,1.071883,2.643077,4.007333,1.790542,0.625954,0.633847,0.633847,0.380284,0.981818,-4.615484,0.002048,0.019963,0.198654,0.4015, false
ea140, ea111,45,53,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.147903,4.007333,1.117654,2.657886,4.007333,1.953208,0.703208,1,1,0.358086,0.945455,-7.256735,0.001434,0.011407,0.196514,0.412673, false
ea140, ea112,42,42,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.935717,4.007333,1.125466,2.471306,4.007333,1.975902,0.58858,0.625394,0.625394,0.379317,0.890909,-7.628671,0.001736,0.011407,0.140626,0.394, false
ea140, ea113,34,25,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.932628,4.007333,1.077383,2.464508,4.007333,1.816803,0.567027,0.625394,0.625394,0.380364,0.981818,-5.917342,0.001929,0.011407,0.160067,0.416889, false
ea140, ea114,46,49,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.046789,4.007333,1.13175,2.584405,4.007333,1.984295,0.64865,0.688363,0.688363,0.373868,0.963636,-7.133439,0.001543,0.011407,0.146586,0.398057, false
ea140, ea115,30,13,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,3.051603,4.007333,1.076103,2.634167,4.007333,1.783139,0.608946,0.625394,0.625394,0.387407,0.981818,-4.470347,0.00186,0.019963,0.182281,0.385667, false
ea140, ea116,32,40,3.164331,4.934474,1.583275,2.945094,4.934474,1.780434,0.74666,0.743551,0.743551,0.246545,0.964029,-13.909261,0.00486,0.032245,1.229552,0.442052,2.955607,4.007333,1.088401,2.472068,4.007333,1.876953,0.571979,0.625394,0.625394,0.383934,0.981818,-8.157789,0.001903,0.011407,0.216906,0.382593, false
