cc_Label, uc_Label, cc_Rank_tfidf, uc_Rank_tfidf, cc_avgIdf, cc_maxIdf, cc_devIdf, cc_avgIctf, cc_maxIctf, cc_devIctf, cc_avgEntropy, cc_medEntropy, cc_maxEntropy, cc_devEntropy, cc_qs, cc_scs, cc_avgVar, cc_maxVar, cc_sumVar, cc_cs, uc_avgIdf, uc_maxIdf, uc_devIdf, uc_avgIctf, uc_maxIctf, uc_devIctf, uc_avgEntropy, uc_medEntropy, uc_maxEntropy, uc_devEntropy, uc_qs, uc_scs, uc_avgVar, uc_maxVar, uc_sumVar, uc_cs, IsLinkValid
100,114,57,26,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,2.970966,4.143135,1.596022,2.749817,4.143135,1.86277,0.897582,1,1,0.185165,1,-4.86926,0.001154,0.01389,0.101559,0.688016, false
100,115,46,23,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.143783,4.143135,1.533555,3.048286,4.143135,1.710017,0.905903,1,1,0.195708,1,-4.149615,0.000446,0.005064,0.045053,0.68273, false
100,116,51,41,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,2.527162,4.143135,1.727499,2.428069,4.143135,1.857339,0.876945,1,1,0.205723,1,-4.038961,0.000284,0.001544,0.011379,0.688492, false
100,117,16,4,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.056309,4.143135,1.688597,2.866158,4.143135,1.985451,0.956998,1,1,0.101212,1,-5.299491,0.000694,0.005064,0.048554,0.690619, false
100,118,6,12,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.133003,4.143135,1.622455,2.977196,4.143135,1.888223,0.952424,1,1,0.102943,1,-5.541748,0.000505,0.004913,0.045981,0.690619, false
100,119,5,8,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.095547,4.143135,1.588553,2.91273,4.143135,1.888389,0.920652,1,1,0.173441,1,-4.392372,0.00071,0.004913,0.046137,0.686032, false
100,120,53,15,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.255222,4.143135,1.570465,3.120403,4.143135,1.790149,0.94333,1,1,0.158625,1,-2.516337,0.001156,0.01389,0.057788,0.688016, false
100,121,33,10,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.248744,4.143135,1.385553,3.147103,4.143135,1.589302,0.867216,1,1,0.244815,1,-2.313589,0.000672,0.007919,0.0719,0.68273, false
100,122,40,34,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.42901,4.143135,1.299024,3.393915,4.143135,1.368846,0.915885,1,1,0.17879,1,-1.511953,0.000355,0.00629,0.019879,0.688492, false
100,123,26,40,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.347092,4.143135,1.357808,3.330841,4.143135,1.386425,0.926595,1,1,0.135136,1,-1.403193,0.000407,0.005281,0.018741,0.677222, false
100,124,27,39,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.323209,4.143135,1.35325,3.306958,4.143135,1.381681,0.908493,1,1,0.174213,1,-1.415069,0.000433,0.005281,0.019936,0.678302, false
100,125,21,19,2.827264,3.850148,1.161227,2.591924,3.850148,1.548009,0.626835,0.71655,0.71655,0.396301,0.978723,-3.765936,0.005062,0.026338,0.404927,0.217783,3.660357,4.143135,1.176829,3.56671,4.143135,1.427102,0.968342,1,1,0.084444,1,-1.038864,0.000547,0.005064,0.026266,0.690619, false
