cc_Label, uc_Label, cc_Rank_tfidf, uc_Rank_tfidf, cc_avgIdf, cc_maxIdf, cc_devIdf, cc_avgIctf, cc_maxIctf, cc_devIctf, cc_avgEntropy, cc_medEntropy, cc_maxEntropy, cc_devEntropy, cc_qs, cc_scs, cc_avgVar, cc_maxVar, cc_sumVar, cc_cs, uc_avgIdf, uc_maxIdf, uc_devIdf, uc_avgIctf, uc_maxIctf, uc_devIctf, uc_avgEntropy, uc_medEntropy, uc_maxEntropy, uc_devEntropy, uc_qs, uc_scs, uc_avgVar, uc_maxVar, uc_sumVar, uc_cs, IsLinkValid
absence, smos1,98,65,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.752535,4.60517,1.561585,2.189203,4.60517,2.082882,0.589208,0.548844,0.548844,0.352961,0.99,-6.078187,0.00501,0.036853,0.275541,0.506424, false
absence, smos10,98,64,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.593679,4.60517,1.368456,2.050296,4.60517,1.674977,0.490273,0.383865,0.383865,0.31773,0.99,-7.290507,0.012559,0.067958,0.715887,0.498253, false
absence, smos11,42,38,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.512711,4.60517,1.117503,1.967815,4.60517,1.559257,0.481296,0.441418,0.441418,0.252224,0.99,-6.029351,0.006385,0.036853,0.485223,0.497525, false
absence, smos12,49,46,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.858123,4.60517,1.286492,2.404314,4.60517,1.767159,0.483426,0.410226,0.410226,0.336011,0.99,-1.515632,0.005056,0.036853,0.323558,0.511646, false
absence, smos13,9,32,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.586249,4.60517,1.302254,2.046695,4.60517,1.741998,0.523278,0.548611,0.548611,0.287299,0.99,-5.841804,0.005809,0.067958,0.331129,0.515889, false
absence, smos14,24,11,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.494151,4.60517,1.454793,1.819404,4.60517,2.06306,0.570905,0.579695,0.579695,0.301095,0.99,-8.023231,0.005754,0.036853,0.44309,0.49603, false
absence, smos15,9,20,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.471663,4.60517,1.321447,1.91687,4.60517,1.77647,0.499795,0.548611,0.548611,0.291147,0.99,-4.362232,0.004129,0.019893,0.206464,0.515424, false
absence, smos16,57,53,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.255126,4.60517,1.432899,1.67095,4.60517,1.852925,0.550073,0.551562,0.551562,0.291033,0.99,-6.971201,0.004765,0.019893,0.190588,0.504061, false
absence, smos17,98,62,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.751792,4.60517,1.183681,2.173189,4.60517,1.678082,0.447715,0.348809,0.348809,0.302514,0.99,-1.519213,0.008214,0.067958,0.254645,0.498283, false
absence, smos18,74,31,3.422802,4.204693,1.287267,3.218494,4.204693,1.624528,0.890919,1,1,0.190839,0.985075,-9.180077,0.00269,0.026417,0.578416,0.395364,2.643221,4.60517,1.392021,1.939416,4.60517,2.035113,0.550024,0.560158,0.560158,0.314292,0.99,-7.326997,0.006731,0.036853,0.484651,0.497848, false
