Set1,Set2,Score,IsLinkValid
152,51,0.456146537,TRUE
137,58,0.450588568,FALSE
144,58,0.431378793,FALSE
152,54,0.425957977,TRUE
152,55,0.421392498,TRUE
152,56,0.419320429,TRUE
152,53,0.413653326,TRUE
152,52,0.412625861,TRUE
144,107,0.392011174,FALSE
144,110,0.378927021,FALSE
144,108,0.37516683,FALSE
137,61,0.369906067,FALSE
144,111,0.366805844,FALSE
144,61,0.363766361,FALSE
137,110,0.362970398,FALSE
144,109,0.362746042,FALSE
137,108,0.359368549,FALSE
137,107,0.356613575,FALSE
144,113,0.356288796,FALSE
137,111,0.351359644,FALSE
137,109,0.3474708,FALSE
152,57,0.341123026,TRUE
144,112,0.338382381,FALSE
137,112,0.331410106,FALSE
137,60,0.325079621,FALSE
137,59,0.321403665,FALSE
137,113,0.31917313,FALSE
144,60,0.301603341,FALSE
144,59,0.298192852,FALSE
159,89,0.249743286,TRUE
114,108,0.244364661,TRUE
159,81,0.243213374,TRUE
159,84,0.240127868,TRUE
160,93,0.238698604,FALSE
114,109,0.236274389,TRUE
114,107,0.233721265,TRUE
159,90,0.233342777,TRUE
159,86,0.231862576,TRUE
114,110,0.231317474,TRUE
159,83,0.230205796,TRUE
159,92,0.228784534,TRUE
159,88,0.228593371,TRUE
159,91,0.228323564,TRUE
159,85,0.226571245,TRUE
159,95,0.224440373,TRUE
114,111,0.223918055,TRUE
159,82,0.215426125,TRUE
159,94,0.209370411,TRUE
159,96,0.207291875,TRUE
160,84,0.207046516,FALSE
159,93,0.20547348,TRUE
159,100,0.20522659,TRUE
114,113,0.203883605,TRUE
114,112,0.203381439,TRUE
159,99,0.198976249,TRUE
160,92,0.197265902,FALSE
160,91,0.196868438,FALSE
160,81,0.196017294,FALSE
160,89,0.194098214,FALSE
159,103,0.193370751,TRUE
159,87,0.187974781,TRUE
160,82,0.185747822,FALSE
159,102,0.184806634,TRUE
159,106,0.184368157,TRUE
140,84,0.18327854,FALSE
150,84,0.18296658,FALSE
159,97,0.180880751,TRUE
159,105,0.177104342,TRUE
140,92,0.174620696,FALSE
150,92,0.174323472,FALSE
150,91,0.173972233,FALSE
134,84,0.173792405,TRUE
160,90,0.171233133,FALSE
159,104,0.171125466,TRUE
160,86,0.170146922,FALSE
159,101,0.169892986,TRUE
134,82,0.169596969,TRUE
