Set1,Set2,Score,IsLinkValid
ea20,ea142,0.6036573342761228,true
ea8,ea142,0.5923437124564068,true
ea15,ea142,0.5461778850932523,false
ea1,ea142,0.5362289277336093,true
ea24,ea142,0.509415432518461,false
ea17,ea141,0.48479340000275306,true
ea12,ea142,0.47047740297756957,true
ea18,ea141,0.43899377528323574,true
ea5,ea142,0.42639092771577897,true
ea16,ea141,0.4068797786684069,true
ea24,ea162,0.4051143903421801,false
ea21,ea162,0.38804186373274785,false
ea16,ea142,0.3713981975505128,true
ea4,ea162,0.3527438902791095,false
ea7,ea142,0.34116370984311845,true
ea20,ea151,0.33476753574890117,true
ea21,ea141,0.3293545770923406,true
ea8,ea151,0.3232029524251441,true
ea11,ea162,0.3228140304135535,false
ea2,ea141,0.32118080627655604,true
ea1,ea151,0.32064844298709755,true
ea12,ea151,0.3152039341037282,true
ea32,ea145,0.314208520550542,true
ea19,ea141,0.30893479900603954,true
ea10,ea162,0.3076633213062337,true
ea24,ea151,0.30696977686445925,false
ea15,ea151,0.3039578539355137,false
ea3,ea162,0.30214193832571573,true
ea3,ea141,0.298988474238512,true
ea20,ea143,0.29782596495347885,true
ea31,ea145,0.2950440589604114,true
ea21,ea161,0.289807807876135,false
ea15,ea162,0.28325724859866064,true
ea5,ea151,0.27710153032968265,false
ea104,ea162,0.27551341295093373,false
ea32,ea152,0.27296151082718534,false
ea20,ea141,0.26754002592830894,true
ea9,ea178,0.25982987612323866,true
ea31,ea152,0.2555686719090262,false
ea5,ea143,0.25378159755224095,false
ea20,ea180,0.25067035799807863,false
ea21,ea143,0.24949501797496823,false
ea80,ea148,0.2450132177972019,false
ea44,ea162,0.24427026451741643,false
ea7,ea143,0.24398553698513345,false
ea24,ea143,0.24396592397861624,false
ea27,ea163,0.24083821566407856,false
ea27,ea164,0.23869039275315646,false
ea8,ea171,0.23640674687603805,false
ea7,ea151,0.23532643203081743,false
ea10,ea178,0.23238984225970366,true
ea20,ea174,0.23094127250367572,false
ea14,ea162,0.2307382259353013,true
ea1,ea141,0.2267619104275479,true
ea20,ea171,0.22304703154222982,false
ea6,ea146,0.2228483748545566,true
ea30,ea145,0.22021349289031483,true
ea2,ea140,0.2152267894579849,true
ea130,ea162,0.21231772176863106,false
ea133,ea162,0.21231772176863106,false
ea8,ea180,0.2117910648370319,false
ea1,ea143,0.20827230241378344,true
ea36,ea163,0.20619168036236027,true
ea15,ea180,0.20608139688530885,false
ea129,ea162,0.20349965256717537,false
ea132,ea162,0.20349965256717537,false
ea32,ea153,0.20346297094357882,true
ea16,ea151,0.20290625609223523,true
