Set1,Set2,Score,IsLinkValid
uc48,idbpreferenzegeneriche,0.8434665411090426,true
uc46,idbpreferenzediricerca,0.8208423607029227,true
uc22,idbnews,0.8130383868390582,true
uc23,idbnews,0.812574204236859,true
uc41,idbmenu,0.7982244325176466,true
uc23,gestioneadvertisementagenzia,0.7869365441492538,true
uc7,idbconvenzione,0.7682932140717931,true
uc22,gestioneadvertisementagenzia,0.7637402345313292,true
uc23,dbnews,0.7575507631008221,true
uc23,igestioneadvertisementagenzia,0.7423071800910314,true
uc22,dbnews,0.7412165248723745,true
uc22,igestioneadvertisementagenzia,0.7241596774970297,true
uc7,dbconvenzione,0.7190927125447509,true
uc40,idbbanner,0.6821809437277077,true
uc44,idbconvenzione,0.659838481858325,true
uc39,gestioneadvertisement,0.6583814163013977,true
uc19,idbbanner,0.6583497270061758,true
uc46,idbpreferenzegeneriche,0.6522577761646502,true
uc38,gestioneadvertisement,0.6516001112743205,true
uc11,idbconvenzione,0.6444259485167503,true
uc21,idbnews,0.6401205726528735,true
uc38,idbbanner,0.6375384031504999,true
uc42,idbmenu,0.634329385210541,true
uc21,gestioneadvertisementagenzia,0.6309641373645005,true
uc17,gestioneadvertisement,0.6309629808748872,true
uc38,igestioneadvertisement,0.6252872525459074,true
uc28,idbtag,0.6245226131970555,true
uc20,gestioneadvertisement,0.6217979691282801,true
uc44,dbconvenzione,0.6177339529469136,true
uc39,idbbanner,0.612453036346853,true
uc39,igestioneadvertisement,0.6115770247430994,true
uc20,idbbanner,0.6088876069886907,true
uc48,igestioneturistaclient,0.6056789407979474,true
uc40,dbbanner,0.6055625289772878,true
uc21,dbnews,0.6025212729707242,true
uc40,igestioneadvertisement,0.5963693633397541,true
uc20,igestioneadvertisement,0.5959699812764009,true
uc21,igestioneadvertisementagenzia,0.595863847206724,true
uc38,dbbanner,0.591971717284861,true
uc48,idbpreferenzediricerca,0.5899607801715302,false
uc11,dbconvenzione,0.5883568112996294,true
uc19,dbbanner,0.5878417909470052,true
uc17,idbbanner,0.5866024788526281,true
uc17,igestioneadvertisement,0.5827420061531599,true
uc28,igestionetagoperatoreagenzia,0.5734639703753501,true
uc19,igestioneadvertisement,0.5720514007803115,true
uc23,newstablemodeltest,0.5684607261214222,false
uc20,dbbanner,0.5654231035113585,true
uc39,dbbanner,0.5652505571902185,true
uc40,gestioneadvertisement,0.553459751459042,true
uc30,idbtag,0.5520938233665358,true
uc43,idboperatorepuntodiristoro,0.5473817167057878,false
uc30,igestionetagoperatoreagenzia,0.5471684610811997,true
uc28,dbtag,0.545093836026527,true
uc17,dbbanner,0.5442431081418583,true
uc22,newstablemodeltest,0.5433250348308539,false
