Set1,Set2,Score,IsLinkValid
l1apr03-i-5,sdp5.2-3,0.9469782675338648,true
l1apr01-f-4-3,sdp4.2-2,0.2997392733180247,true
l1apr01-i-1,sdp3.3-4,0.2924247623230151,true
l1apr03-f-2.5-2,sdp5.2-4.3,0.27728752594055855,false
l1apr01-f-4-3,sdp4.2-1,0.27689617515480414,true
l1apr01-f-4-5,sdp4.2-3,0.24606184975759068,false
l1apr01-f-4-4,sdp4.2-3,0.22567508929853766,false
l1apr03-f-2.4-2,sdp5.2-4.3,0.20548228486217085,false
l1apr03-f-1-2,sdp5.2-1,0.1916090256297634,true
l1apr03-i-5,sdp5.2-4.5,0.19062247070244262,false
l1apr03-i-5,sdp5.2-4.3,0.18013941524889582,false
l1apr01-i-2,sdp5.2-1,0.15631291026091942,false
l1apr03-i-2,sdp5.2-1,0.15631291026091942,false
l1apr01-i-1,sdp6.1-3,0.15040829614782278,false
l1apr03-f-2.5-5,sdp5.2-4.3,0.14783769826430695,false
l1apr01-i-2,sdp3.3-2,0.14781700648134471,true
l1apr03-i-2,sdp3.3-2,0.14781700648134471,true
l1apr01-f-4-3,sdp4.2-3,0.13818495850525062,true
l1apr03-f-2.5-2,sdp5.3-1,0.13685862345757932,true
l1apr03-f-2.4-2,sdp5.2-4.5,0.13371672852259217,false
l1apr01-f-1.1-1,sdp5.2-4.3,0.12769878830517808,false
l1apr03-f-1-2,sdp3.3-2,0.11624752798553065,false
l1apr03-f-2.5-2,sdp5.2-4.5,0.11220885050869893,false
l1apr01-f-4-4,sdp4.2-1,0.1089835953235801,false
l1apr01-i-3,sdp4.2-3,0.10883601549271729,false
l1apr01-f-2.1-1,sdp5.2-4.3,0.10315817244756433,false
l1apr01-f-4-4,sdp3.2-2,0.0994268630836268,false
l1apr03-f-1-2,sdp3.3-1,0.09653749944767419,false
l1apr03-f-2.4-2,sdp5.3-1,0.09649873608930142,false
l1apr01-f-4-5,sdp4.2-1,0.09326776653819832,false
l1apr01-f-4-5,sdp4.2-2,0.09287087269121676,false
l1apr03-f-5.4-2,sdp5.2-4.5,0.09280741489641454,true
l1apr03-f-5.5-2,sdp5.2-4.5,0.09280741489641454,true
l1apr03-i-5,sdp5.3-1,0.09223458543542569,false
l1apr01-f-2.2.4-2,sdp3.2-2,0.09027123248367101,false
l1apr03-f-3.2.1-2,sdp5.2-4.3,0.08889678077643041,false
l1apr03-f-2.4-2,sdp5.2-3,0.08809480704373339,false
l1apr03-i-5,sdp3.2-2,0.08788144237776314,false
l1apr01-i-1,sdp3.3-1,0.08785104112137726,true
l1apr03-f-1-2,sdp5.3-1,0.08752200045480121,true
l1apr01-i-3,sdp5.2-4.5,0.08638923345567083,false
l1apr02-f-4.1-2,sdp5.3-1,0.08627524572219833,false
l1apr02-f-4.4-2,sdp5.3-1,0.08627524572219833,false
l1apr03-f-4.2-2,sdp5.3-1,0.08627524572219833,false
l1apr03-f-4.3-2,sdp5.3-1,0.08627524572219833,false
l1apr03-f-1-2,sdp4.2-3,0.08614362171341082,false
l1apr01-f-4-5,sdp3.2-2,0.0850891496667545,false
l1apr01-f-2.3-1,sdp3.3-2,0.08463693762431264,false
l1apr01-f-4-4,sdp5.3-1,0.08397956470614192,false
l1apr03-i-5,sdp3.3-2,0.08228065503008988,false
l1apr01-i-2,sdp6.1-1,0.08225019606010543,false
l1apr03-i-2,sdp6.1-1,0.08225019606010543,false
l1apr03-f-2.5-2,sdp5.2-3,0.08212924522606466,false
l1apr01-i-1,sdp6.1-1,0.0788123081575394,false
l1apr03-f-3.2.3-2,sdp5.2-4.3,0.07815968469040124,false
l1a5.2,sdp6.1-5,0.07686975598485309,false
l1apr03-f-2.4-2,sdp3.2-2,0.07619849863249836,false
l1apr03-f-2.5-1,sdp5.3-1,0.07430767489769409,true
