Set1,Set2,Score,IsLinkValid
smos10,role,0.6053328084436986,true
smos39,note,0.5763984453150657,true
smos37,note,0.5262991285525906,true
smos35,note,0.5136573943330012,true
smos39,servletshownotedetails,0.46679991068012844,true
smos43,note,0.4454023753744574,true
smos35,servletshownotedetails,0.439776417689163,true
smos37,servletshownotedetails,0.420757808319428,true
smos41,note,0.38682369262850436,true
smos2,loginexception,0.38643770828712704,false
smos39,servletinsertnewnote,0.37986196993151317,true
smos43,servletshownotedetails,0.3740699797178921,true
smos35,servletinsertnewnote,0.366395685251314,true
smos37,servletinsertnewnote,0.3447692004142227,true
smos43,servletinsertnewnote,0.30659423497573846,true
smos41,servletshownotedetails,0.30572108314397095,true
smos46,report,0.30344164194034096,false
smos59,report,0.2823595791390202,false
smos62,report,0.2809063937682762,false
smos7,user,0.2758953519620107,true
smos22,teaching,0.2707988586458671,true
smos19,address,0.2662525876919994,true
smos24,teaching,0.2615540594763767,true
smos23,teaching,0.25644454223133056,true
smos26,teaching,0.2560306460727686,true
smos34,justify,0.2533724210444104,true
smos41,servletinsertnewnote,0.2519592925891531,true
smos15,classroom,0.2511275161434516,true
smos14,classroom,0.24919769007696155,true
smos44,note,0.24285488309107803,true
smos66,report,0.2421404773726306,false
smos45,report,0.24162650458616414,false
smos17,address,0.2408671120457187,true
smos20,address,0.24015819135961275,true
smos18,address,0.23517648493267876,true
smos36,justify,0.23509536812770493,true
smos38,justify,0.2316276901933623,true
smos40,justify,0.2291621250205096,true
smos13,classroom,0.22453936278273792,false
smos25,teaching,0.2234582535842264,true
smos42,justify,0.21640229261055355,true
smos2,servletlogin,0.21460400921272227,true
smos47,report,0.21375837970762276,false
smos39,servletcomputatestatistics,0.21311207612440408,true
smos31,absence,0.2126403252378009,true
smos35,servletcomputatestatistics,0.20857790103894144,true
smos3,servletlogout,0.2084898220069094,true
smos6,user,0.20752556068954514,true
smos4,user,0.20708176972445072,true
smos60,absence,0.20302241210452118,true
smos44,servletshownotedetails,0.20211854187162875,true
smos34,absence,0.1999874493519783,true
smos37,servletcomputatestatistics,0.19426575094599552,true
smos21,address,0.19421950308566593,true
smos58,report,0.1926357339937926,false
smos2,servletinsertuser,0.1901643842592188,false
smos39,servletdeletenote,0.1898107727451136,true
smos33,delay,0.18921052352972595,true
smos55,servletshowuserroleform,0.18838871961330006,false
smos17,role,0.1859466420125468,false
smos18,classroom,0.18315135435464783,true
smos39,managerregister,0.17703297864449993,true
smos35,servletdeletenote,0.17686048560743822,true
smos60,justify,0.17643731191344594,true
smos7,userlistitem,0.17463038385200924,true
smos44,servletinsertnewnote,0.17305569201818966,true
smos43,servletcomputatestatistics,0.17278385536332994,true
smos37,servletdeletenote,0.17024243708601858,true
smos37,managerregister,0.16788404507867205,true
smos20,deletemanagerexception,0.16586051300938232,false
smos63,note,0.16561752720190756,true
smos20,deleteadministratorexception,0.1647709652502884,false
smos54,servletshowuserroleform,0.16109046717891154,false
smos29,absence,0.16092149296232416,true
smos11,teaching,0.1606298924190415,false
smos4,loginexception,0.16062460635537734,false
smos35,managerregister,0.15947668332518358,true
smos22,role,0.159386872711209,false
smos60,registerline,0.15847596823732293,true
smos19,classroom,0.1554916118652415,true
smos27,classroom,0.15468049272521178,false
smos43,servletdeletenote,0.15153224801183104,true
smos39,servletshownotelist,0.15135617639696755,false
smos53,servletshowuserroleform,0.15030166723058355,false
smos35,servletshownotelist,0.14972737374807746,false
smos60,note,0.14962429384649675,true
smos48,report,0.14804581254853216,false
smos20,classroom,0.14772285518144,true
smos43,managerregister,0.1475629972829871,true
smos16,deletemanagerexception,0.1473352358151164,false
smos16,deleteadministratorexception,0.1463673817243187,false
smos63,servletshownotedetails,0.1459565555126243,false
smos67,servletlogin,0.14593617034315273,false
smos13,role,0.1457322657118333,true
smos44,absence,0.14528777424711753,true
smos57,absence,0.14351042138524986,true
smos10,servletassignrole,0.14342581987563469,true
smos41,servletcomputatestatistics,0.1424808157123204,true
smos21,teaching,0.1415227987067949,true
smos64,classroom,0.14082261126743467,false
smos67,user,0.13969174103294413,true
smos37,servletshownotelist,0.13782294959035693,false
smos36,absence,0.1371400551999326,true
smos55,role,0.1370323980557901,false
smos38,absence,0.1361749958784361,true
smos9,deletemanagerexception,0.13600377198043473,false
smos32,delay,0.1353240555036697,true
smos9,deleteadministratorexception,0.13511035496211632,false
smos60,servletshownotedetails,0.13477356540557622,false
smos2,user,0.13460676272809077,true
smos57,note,0.13204860461757398,true
smos17,classroom,0.1311831056045794,true
smos1,loginexception,0.13012685694949522,false
smos56,classroom,0.12865168489467876,false
smos60,servletinsertnewnote,0.12864309930354303,false
smos63,servletinsertnewnote,0.12757213009998675,false
smos46,votes,0.12670090600442369,true
smos20,manageraddress,0.12380379423117137,true
smos41,servletdeletenote,0.12304559617353703,true
smos43,servletshownotelist,0.12297693373237076,false
smos54,absence,0.12288254573630196,true
smos6,servletinsertuser,0.12242353155489115,true
smos19,manageraddress,0.12162621350820589,true
smos1,user,0.12122526252431988,true
smos61,absence,0.12068286545595974,true
smos41,managerregister,0.12059755229726683,true
smos16,classroom,0.11967062383875937,true
smos55,delay,0.11924133754641628,true
smos54,role,0.11760627903321312,false
smos2,servletupdateuser,0.11666366240920932,false
